Athlete,State,Sport,Gender,Age,Coach,Event Type,Medals
Aman Nair,Kerala,Gatka,Male,30,Coach Kumar,Sword,"Silver, Gold, Gold"
Vijay Desai,Uttar Pradesh,Gatka,Male,18,Coach Kumar,Shield,"Bronze, Gold, Bronze"
Isha Yadav,West Bengal,Gatka,Female,23,Coach Iyer,Sword,"Bronze, Bronze"
Rohan Nair,Gujarat,Gatka,Male,27,Coach Kumar,Shield,"Gold, Gold"
Aman Patil,Karnataka,Gatka,Female,17,Coach Iyer,Stick,Bronze
Vijay Singh,Rajasthan,Gatka,Female,29,Coach Iyer,Stick,"Silver, Bronze, Silver"
Dev Nair,Haryana,Gatka,Female,17,Coach Patil,Sword,
Vijay Singh,Maharashtra,Gatka,Male,28,Coach Kumar,Stick,
Sakshi Chauhan,Tamil Nadu,Gatka,Male,25,Coach Patil,Shield,
Anjali Sharma,West Bengal,Gatka,Female,32,Coach Iyer,Stick,Gold
Aman Kaur,Maharashtra,Gatka,Male,32,Coach Iyer,Stick,
Anjali Joshi,Gujarat,Gatka,Female,22,Coach Patil,Sword,"Silver, Gold"
Yash Singh,Gujarat,Gatka,Male,29,Coach Iyer,Shield,Bronze
Sakshi Chauhan,Rajasthan,Gatka,Male,31,Coach Iyer,Sword,Bronze
Anjali Nair,Tamil Nadu,Gatka,Male,29,Coach Singh,Shield,"Bronze, Bronze, Silver"
Isha Joshi,Uttar Pradesh,Gatka,Female,30,Coach Iyer,Stick,Bronze
Pooja Sharma,Haryana,Gatka,Female,29,Coach Sharma,Sword,Silver
Aman Desai,Haryana,Gatka,Male,29,Coach Sharma,Shield,"Gold, Bronze"
Isha Reddy,Karnataka,Gatka,Male,29,Coach Patil,Stick,Bronze
Rohan Patil,Karnataka,Gatka,Male,19,Coach Patil,Sword,
Anjali Kaur,Gujarat,Gatka,Female,24,Coach Singh,Stick,"Silver, Bronze, Bronze"
Rohan Chauhan,Uttar Pradesh,Gatka,Male,20,Coach Singh,Shield,Bronze
Pooja Nair,Rajasthan,Gatka,Male,34,Coach Sharma,Shield,"Bronze, Silver"
Aman Desai,Haryana,Gatka,Female,19,Coach Singh,Stick,"Bronze, Gold"
Isha Joshi,Haryana,Gatka,Female,22,Coach Kumar,Sword,
Sakshi Sharma,Rajasthan,Gatka,Female,29,Coach Singh,Shield,
Sakshi Patil,Rajasthan,Gatka,Male,32,Coach Patil,Sword,
Anjali Kaur,Uttar Pradesh,Gatka,Male,16,Coach Patil,Sword,"Gold, Bronze, Bronze"
Arjun Nair,Rajasthan,Gatka,Female,23,Coach Iyer,Shield,Gold
Vijay Chauhan,Karnataka,Gatka,Male,25,Coach Patil,Shield,"Bronze, Gold"
Pooja Kaur,Gujarat,Gatka,Female,34,Coach Kumar,Shield,"Silver, Gold, Bronze"
Isha Yadav,Tamil Nadu,Gatka,Female,29,Coach Iyer,Stick,"Silver, Bronze, Bronze"
Yash Nair,Karnataka,Gatka,Male,26,Coach Patil,Shield,
Isha Chauhan,Haryana,Gatka,Male,20,Coach Singh,Sword,Bronze
Aman Reddy,Kerala,Gatka,Female,18,Coach Sharma,Stick,"Bronze, Gold, Bronze"
Anjali Patil,Uttar Pradesh,Gatka,Male,23,Coach Sharma,Stick,"Gold, Gold"
Sakshi Desai,Haryana,Gatka,Male,27,Coach Sharma,Sword,Gold
Anjali Nair,Haryana,Gatka,Male,28,Coach Sharma,Shield,Gold
Pooja Joshi,Kerala,Gatka,Female,20,Coach Iyer,Shield,"Gold, Silver, Silver"
Pooja Sharma,Kerala,Gatka,Female,20,Coach Patil,Shield,Silver
Isha Yadav,Rajasthan,Gatka,Female,29,Coach Singh,Sword,
Vijay Desai,Uttar Pradesh,Gatka,Male,23,Coach Singh,Shield,"Gold, Bronze"
Arjun Sharma,Punjab,Gatka,Male,23,Coach Singh,Stick,Silver
Aman Kaur,Uttar Pradesh,Gatka,Female,35,Coach Kumar,Stick,Bronze
Isha Patil,Tamil Nadu,Gatka,Male,25,Coach Patil,Shield,Gold
Vijay Singh,Karnataka,Gatka,Female,26,Coach Patil,Stick,
Anjali Desai,Haryana,Gatka,Male,35,Coach Iyer,Sword,"Silver, Bronze, Silver"
Aman Reddy,Gujarat,Gatka,Female,17,Coach Singh,Stick,Silver
Anjali Nair,Kerala,Gatka,Male,31,Coach Singh,Sword,Bronze
Vijay Sharma,Punjab,Gatka,Male,22,Coach Sharma,Sword,"Silver, Bronze, Silver"
Yash Sharma,Rajasthan,Gatka,Male,18,Coach Kumar,Stick,
Isha Sharma,Karnataka,Gatka,Male,29,Coach Iyer,Sword,Silver
Vijay Sharma,Tamil Nadu,Gatka,Female,28,Coach Iyer,Stick,
Vijay Nair,Gujarat,Gatka,Female,25,Coach Sharma,Sword,
Pooja Desai,Haryana,Gatka,Male,27,Coach Singh,Stick,"Bronze, Bronze, Silver"
Isha Yadav,Maharashtra,Gatka,Male,30,Coach Singh,Stick,"Gold, Bronze"
Rohan Chauhan,Karnataka,Gatka,Female,24,Coach Patil,Sword,"Bronze, Gold, Bronze"
Aman Singh,Punjab,Gatka,Female,19,Coach Patil,Shield,"Bronze, Silver"
Rohan Yadav,Karnataka,Gatka,Female,23,Coach Iyer,Shield,"Bronze, Gold"
Rohan Chauhan,Tamil Nadu,Gatka,Male,17,Coach Patil,Shield,Gold
Sakshi Sharma,Karnataka,Gatka,Male,21,Coach Kumar,Shield,
Dev Reddy,Punjab,Gatka,Female,29,Coach Kumar,Shield,
Sakshi Kaur,Tamil Nadu,Gatka,Female,16,Coach Kumar,Stick,"Gold, Gold, Silver"
Pooja Nair,Maharashtra,Gatka,Female,18,Coach Sharma,Stick,"Bronze, Gold, Gold"
Aman Reddy,Kerala,Gatka,Female,34,Coach Kumar,Sword,Bronze
Yash Joshi,Punjab,Gatka,Female,16,Coach Iyer,Shield,"Bronze, Gold, Bronze"
Vijay Joshi,Gujarat,Gatka,Male,16,Coach Sharma,Sword,"Bronze, Gold, Silver"
Isha Patil,West Bengal,Gatka,Female,22,Coach Sharma,Stick,"Bronze, Bronze, Gold"
Anjali Chauhan,Haryana,Gatka,Male,35,Coach Iyer,Sword,Bronze
Sakshi Yadav,Karnataka,Gatka,Male,17,Coach Kumar,Shield,
Sakshi Joshi,Punjab,Gatka,Male,24,Coach Singh,Shield,"Bronze, Bronze"
Vijay Yadav,Haryana,Gatka,Female,31,Coach Kumar,Stick,"Bronze, Silver"
Dev Reddy,Gujarat,Gatka,Female,23,Coach Patil,Stick,Bronze
Pooja Patil,Maharashtra,Gatka,Male,19,Coach Kumar,Sword,"Bronze, Gold, Bronze"
Isha Joshi,Gujarat,Gatka,Male,21,Coach Singh,Shield,"Bronze, Bronze"
Isha Joshi,West Bengal,Gatka,Female,16,Coach Singh,Sword,Bronze
Rohan Nair,Uttar Pradesh,Gatka,Female,24,Coach Sharma,Shield,
Vijay Sharma,Maharashtra,Gatka,Female,26,Coach Singh,Sword,
Sakshi Kaur,Rajasthan,Gatka,Male,16,Coach Iyer,Shield,"Gold, Silver, Silver"
Isha Yadav,Rajasthan,Gatka,Male,35,Coach Patil,Shield,"Bronze, Silver, Silver"
Arjun Reddy,Rajasthan,Gatka,Male,27,Coach Kumar,Shield,"Bronze, Bronze"
Vijay Patil,Kerala,Gatka,Male,28,Coach Sharma,Sword,Gold
Aman Yadav,Kerala,Gatka,Female,33,Coach Kumar,Shield,"Bronze, Gold"
Aman Joshi,Maharashtra,Gatka,Female,25,Coach Kumar,Sword,"Silver, Bronze, Silver"
Yash Sharma,Punjab,Gatka,Female,25,Coach Singh,Shield,"Silver, Gold"
Pooja Nair,Punjab,Gatka,Male,21,Coach Kumar,Stick,"Gold, Silver"
Isha Desai,Kerala,Gatka,Male,31,Coach Kumar,Shield,"Silver, Gold, Silver"
Vijay Yadav,Maharashtra,Gatka,Female,26,Coach Singh,Stick,
Rohan Kaur,Gujarat,Gatka,Female,29,Coach Kumar,Sword,Silver
Rohan Sharma,West Bengal,Gatka,Female,17,Coach Iyer,Stick,
Yash Kaur,Maharashtra,Gatka,Male,35,Coach Sharma,Shield,"Bronze, Gold, Gold"
Aman Desai,Tamil Nadu,Gatka,Male,20,Coach Singh,Sword,Bronze
Arjun Patil,West Bengal,Gatka,Male,31,Coach Sharma,Stick,Bronze
Dev Yadav,Punjab,Gatka,Female,16,Coach Singh,Stick,"Bronze, Gold"
Aman Patil,Haryana,Gatka,Female,23,Coach Kumar,Shield,"Bronze, Bronze"
Dev Singh,Haryana,Gatka,Male,35,Coach Sharma,Stick,"Gold, Bronze, Silver"
Dev Singh,Tamil Nadu,Gatka,Female,27,Coach Patil,Sword,
Dev Chauhan,Punjab,Gatka,Female,16,Coach Kumar,Sword,"Silver, Gold"
Anjali Nair,Gujarat,Gatka,Female,23,Coach Singh,Stick,"Silver, Bronze"
Anjali Kaur,Haryana,Gatka,Male,29,Coach Kumar,Stick,
Yash Kaur,Kerala,Gatka,Male,17,Coach Sharma,Shield,"Bronze, Silver, Bronze"
Pooja Yadav,Tamil Nadu,Gatka,Male,35,Coach Sharma,Sword,Gold
Anjali Joshi,Kerala,Gatka,Female,28,Coach Singh,Sword,"Bronze, Bronze"
Rohan Sharma,Gujarat,Gatka,Female,22,Coach Iyer,Stick,Bronze
Yash Kaur,Gujarat,Gatka,Male,27,Coach Iyer,Stick,
Yash Sharma,Haryana,Gatka,Male,29,Coach Kumar,Stick,Silver
Aman Patil,Tamil Nadu,Gatka,Female,35,Coach Singh,Shield,"Silver, Gold, Bronze"
Anjali Chauhan,Haryana,Gatka,Male,22,Coach Kumar,Stick,
Pooja Sharma,Gujarat,Gatka,Female,28,Coach Iyer,Stick,Bronze
Rohan Sharma,Punjab,Gatka,Female,33,Coach Patil,Sword,
Sakshi Yadav,Haryana,Gatka,Female,29,Coach Patil,Stick,"Gold, Silver"
Isha Singh,Kerala,Gatka,Male,31,Coach Patil,Stick,"Silver, Gold, Silver"
Pooja Reddy,Uttar Pradesh,Gatka,Male,34,Coach Sharma,Sword,Bronze
Sakshi Desai,Kerala,Gatka,Female,34,Coach Singh,Sword,"Silver, Bronze, Silver"
Aman Patil,Karnataka,Gatka,Male,34,Coach Iyer,Sword,"Silver, Bronze, Silver"
Dev Nair,Haryana,Gatka,Female,22,Coach Singh,Sword,Gold
Pooja Desai,West Bengal,Gatka,Female,16,Coach Patil,Shield,"Silver, Silver"
Yash Desai,Kerala,Gatka,Female,20,Coach Iyer,Shield,Bronze
Aman Kaur,Kerala,Gatka,Male,27,Coach Patil,Shield,"Silver, Bronze"
Anjali Joshi,Uttar Pradesh,Gatka,Male,22,Coach Kumar,Sword,"Gold, Silver"
Rohan Singh,Kerala,Gatka,Female,20,Coach Singh,Stick,Bronze
Isha Desai,Rajasthan,Gatka,Male,19,Coach Iyer,Shield,
Yash Patil,Tamil Nadu,Gatka,Female,18,Coach Singh,Shield,"Silver, Gold, Gold"
Pooja Desai,Punjab,Gatka,Male,18,Coach Patil,Sword,
Yash Chauhan,Tamil Nadu,Gatka,Female,30,Coach Iyer,Shield,
Aman Sharma,Rajasthan,Gatka,Female,18,Coach Sharma,Stick,"Bronze, Silver, Silver"
Anjali Desai,Uttar Pradesh,Gatka,Male,23,Coach Patil,Stick,
Anjali Nair,West Bengal,Gatka,Male,20,Coach Patil,Sword,Gold
Aman Reddy,Haryana,Gatka,Female,21,Coach Patil,Shield,
Sakshi Kaur,Maharashtra,Gatka,Male,26,Coach Singh,Shield,"Gold, Silver, Silver"
Yash Chauhan,Karnataka,Gatka,Female,24,Coach Patil,Stick,"Gold, Bronze"
Sakshi Joshi,Maharashtra,Gatka,Female,20,Coach Singh,Stick,Silver
Yash Yadav,Rajasthan,Gatka,Male,16,Coach Patil,Sword,"Gold, Gold, Silver"
Yash Reddy,Tamil Nadu,Gatka,Female,22,Coach Singh,Shield,Silver
Aman Chauhan,Tamil Nadu,Gatka,Female,26,Coach Patil,Shield,"Silver, Gold, Gold"
Dev Chauhan,Haryana,Gatka,Male,28,Coach Patil,Sword,"Gold, Bronze"
Arjun Kaur,West Bengal,Gatka,Female,31,Coach Sharma,Sword,"Silver, Silver"
Isha Singh,Gujarat,Gatka,Female,26,Coach Patil,Stick,"Gold, Bronze"
Pooja Nair,Punjab,Gatka,Female,34,Coach Singh,Shield,
Pooja Chauhan,Rajasthan,Gatka,Female,26,Coach Iyer,Shield,"Bronze, Bronze, Bronze"
Anjali Kaur,Tamil Nadu,Gatka,Male,16,Coach Sharma,Sword,
Sakshi Nair,Tamil Nadu,Gatka,Female,35,Coach Kumar,Shield,Gold
Arjun Patil,Tamil Nadu,Gatka,Female,31,Coach Singh,Sword,
Isha Desai,Gujarat,Gatka,Female,25,Coach Iyer,Sword,"Silver, Gold, Silver"
Sakshi Singh,Uttar Pradesh,Gatka,Female,21,Coach Kumar,Shield,"Silver, Silver, Bronze"
Aman Desai,Uttar Pradesh,Gatka,Male,29,Coach Kumar,Stick,Gold
Arjun Reddy,Maharashtra,Gatka,Male,20,Coach Patil,Sword,Silver
Pooja Kaur,Rajasthan,Gatka,Male,20,Coach Singh,Shield,"Silver, Silver, Bronze"
Sakshi Chauhan,Punjab,Gatka,Female,26,Coach Iyer,Sword,"Gold, Bronze, Silver"
Arjun Sharma,Haryana,Gatka,Female,17,Coach Kumar,Sword,Gold
Dev Joshi,Gujarat,Gatka,Male,34,Coach Iyer,Sword,
Vijay Nair,Gujarat,Gatka,Male,30,Coach Singh,Stick,"Bronze, Silver, Silver"
Yash Patil,Karnataka,Gatka,Female,31,Coach Iyer,Sword,
Isha Joshi,Karnataka,Gatka,Female,31,Coach Kumar,Shield,
Sakshi Desai,Haryana,Gatka,Male,34,Coach Kumar,Sword,Silver
Dev Sharma,Maharashtra,Gatka,Female,30,Coach Iyer,Shield,"Bronze, Gold, Gold"
Vijay Chauhan,West Bengal,Gatka,Female,17,Coach Iyer,Sword,Gold
Arjun Kaur,Uttar Pradesh,Gatka,Male,32,Coach Patil,Stick,
Dev Joshi,Gujarat,Gatka,Male,17,Coach Iyer,Shield,Gold
Aman Joshi,Haryana,Gatka,Female,26,Coach Singh,Sword,
Sakshi Singh,Gujarat,Gatka,Female,31,Coach Patil,Stick,"Gold, Bronze"
Dev Chauhan,Tamil Nadu,Gatka,Male,20,Coach Patil,Sword,
Anjali Joshi,Punjab,Gatka,Male,28,Coach Sharma,Sword,
Anjali Nair,Maharashtra,Gatka,Female,29,Coach Patil,Stick,Gold
Arjun Nair,Rajasthan,Gatka,Female,35,Coach Kumar,Sword,"Gold, Gold"
Dev Desai,Rajasthan,Gatka,Male,34,Coach Singh,Sword,Gold
Aman Singh,Gujarat,Gatka,Female,27,Coach Iyer,Sword,Bronze
Aman Desai,Tamil Nadu,Gatka,Male,29,Coach Sharma,Sword,Gold
Dev Desai,Kerala,Gatka,Female,17,Coach Sharma,Shield,Silver
Dev Patil,Maharashtra,Gatka,Male,20,Coach Singh,Sword,"Silver, Gold"
Rohan Chauhan,Uttar Pradesh,Gatka,Male,17,Coach Sharma,Stick,
Arjun Joshi,Punjab,Gatka,Male,35,Coach Kumar,Stick,
Yash Reddy,Maharashtra,Gatka,Male,28,Coach Singh,Shield,Bronze
Dev Patil,Rajasthan,Gatka,Female,20,Coach Sharma,Shield,"Silver, Bronze"
Isha Chauhan,Tamil Nadu,Gatka,Male,16,Coach Patil,Shield,"Bronze, Bronze"
Pooja Singh,Karnataka,Gatka,Male,31,Coach Iyer,Shield,"Silver, Bronze"
Isha Patil,Kerala,Gatka,Female,35,Coach Kumar,Shield,"Gold, Bronze, Gold"
Vijay Chauhan,West Bengal,Gatka,Male,27,Coach Singh,Sword,"Gold, Bronze, Gold"
Pooja Reddy,Rajasthan,Gatka,Male,17,Coach Sharma,Sword,"Silver, Gold, Bronze"
Aman Yadav,Punjab,Gatka,Female,33,Coach Kumar,Sword,"Gold, Silver"
Isha Chauhan,Haryana,Gatka,Male,28,Coach Kumar,Stick,"Silver, Silver"
Dev Singh,Karnataka,Gatka,Female,34,Coach Patil,Shield,"Silver, Silver"
Isha Joshi,Rajasthan,Gatka,Male,24,Coach Kumar,Stick,"Bronze, Bronze, Bronze"
Rohan Reddy,Haryana,Gatka,Female,20,Coach Sharma,Sword,"Gold, Gold, Bronze"
Yash Desai,Uttar Pradesh,Gatka,Male,32,Coach Singh,Sword,
Dev Chauhan,Rajasthan,Gatka,Male,34,Coach Singh,Stick,"Bronze, Silver, Gold"
Dev Joshi,Rajasthan,Gatka,Female,33,Coach Sharma,Stick,Silver
Dev Chauhan,West Bengal,Gatka,Male,23,Coach Kumar,Stick,
Sakshi Sharma,Uttar Pradesh,Gatka,Female,22,Coach Kumar,Shield,Silver
Arjun Singh,Karnataka,Gatka,Female,33,Coach Sharma,Shield,"Gold, Silver, Gold"
Sakshi Yadav,Kerala,Gatka,Male,28,Coach Iyer,Shield,"Gold, Silver, Silver"
Dev Chauhan,West Bengal,Gatka,Female,17,Coach Kumar,Sword,
Aman Yadav,Punjab,Gatka,Male,30,Coach Kumar,Sword,"Gold, Silver"
Pooja Sharma,Tamil Nadu,Gatka,Male,29,Coach Patil,Stick,
Dev Nair,Haryana,Gatka,Male,26,Coach Singh,Stick,Bronze
Dev Joshi,Tamil Nadu,Gatka,Female,24,Coach Kumar,Stick,"Gold, Silver, Silver"
Rohan Yadav,Karnataka,Gatka,Female,22,Coach Singh,Shield,"Bronze, Gold"
Arjun Sharma,Gujarat,Gatka,Male,18,Coach Sharma,Shield,"Bronze, Gold, Silver"
Vijay Patil,Tamil Nadu,Gatka,Male,27,Coach Singh,Shield,"Gold, Silver, Bronze"
Pooja Yadav,Maharashtra,Gatka,Male,18,Coach Iyer,Sword,
Isha Joshi,Haryana,Gatka,Female,18,Coach Patil,Sword,
Vijay Joshi,Kerala,Gatka,Female,25,Coach Patil,Stick,
Vijay Desai,Gujarat,Gatka,Female,35,Coach Singh,Stick,Bronze
Vijay Joshi,Haryana,Gatka,Male,24,Coach Kumar,Shield,
Vijay Joshi,Karnataka,Gatka,Female,30,Coach Iyer,Shield,
Arjun Patil,Haryana,Gatka,Female,19,Coach Kumar,Stick,"Bronze, Silver"
Pooja Patil,Karnataka,Gatka,Female,23,Coach Singh,Sword,
Isha Yadav,Maharashtra,Gatka,Female,20,Coach Sharma,Sword,"Silver, Silver, Gold"
Rohan Desai,Tamil Nadu,Gatka,Male,31,Coach Patil,Sword,Silver
Isha Patil,Tamil Nadu,Gatka,Male,18,Coach Sharma,Shield,"Gold, Bronze, Silver"
Dev Nair,Tamil Nadu,Gatka,Female,20,Coach Patil,Shield,"Silver, Bronze, Gold"
Isha Desai,Haryana,Gatka,Female,35,Coach Sharma,Sword,"Bronze, Gold, Gold"
Arjun Yadav,West Bengal,Gatka,Male,23,Coach Sharma,Shield,"Gold, Bronze, Bronze"
Aman Desai,Punjab,Gatka,Male,24,Coach Sharma,Shield,Silver
Pooja Joshi,West Bengal,Gatka,Female,30,Coach Iyer,Stick,"Gold, Silver, Gold"
Isha Desai,Karnataka,Gatka,Male,19,Coach Iyer,Sword,"Silver, Silver"
Arjun Patil,Gujarat,Gatka,Male,18,Coach Patil,Stick,"Gold, Bronze, Bronze"
Dev Sharma,Rajasthan,Gatka,Male,18,Coach Sharma,Stick,"Gold, Gold"
Arjun Reddy,Gujarat,Gatka,Female,34,Coach Iyer,Sword,"Bronze, Gold"
Anjali Patil,Kerala,Gatka,Male,19,Coach Kumar,Stick,"Bronze, Bronze"
Sakshi Singh,Karnataka,Gatka,Male,18,Coach Patil,Sword,Gold
Yash Joshi,Haryana,Gatka,Male,29,Coach Singh,Shield,"Silver, Silver"
Pooja Desai,Rajasthan,Gatka,Male,17,Coach Iyer,Shield,"Silver, Bronze"
Sakshi Chauhan,Maharashtra,Gatka,Male,25,Coach Patil,Shield,Silver
Arjun Joshi,Maharashtra,Gatka,Female,27,Coach Sharma,Stick,"Gold, Bronze"
Sakshi Patil,Tamil Nadu,Gatka,Male,17,Coach Patil,Sword,Gold
Isha Sharma,Maharashtra,Gatka,Male,31,Coach Iyer,Sword,Bronze
Arjun Sharma,Haryana,Gatka,Male,30,Coach Singh,Stick,Gold
Yash Joshi,Punjab,Gatka,Male,35,Coach Kumar,Shield,
Yash Reddy,Punjab,Gatka,Male,21,Coach Patil,Shield,"Silver, Gold"
Arjun Singh,Gujarat,Gatka,Female,21,Coach Sharma,Shield,"Bronze, Bronze, Gold"
Vijay Chauhan,Uttar Pradesh,Gatka,Male,32,Coach Singh,Shield,
Vijay Chauhan,Maharashtra,Gatka,Male,31,Coach Iyer,Stick,
Anjali Patil,Punjab,Gatka,Male,28,Coach Patil,Shield,Bronze
Yash Yadav,Karnataka,Gatka,Female,33,Coach Singh,Sword,
Yash Singh,Kerala,Gatka,Male,29,Coach Patil,Shield,"Bronze, Bronze, Silver"
Pooja Nair,Gujarat,Gatka,Female,28,Coach Sharma,Stick,Silver
Arjun Singh,Rajasthan,Gatka,Female,26,Coach Singh,Sword,
Aman Nair,Haryana,Gatka,Female,28,Coach Kumar,Stick,Gold
Sakshi Desai,Uttar Pradesh,Gatka,Male,22,Coach Sharma,Stick,"Bronze, Gold, Gold"
Pooja Reddy,Karnataka,Gatka,Female,27,Coach Patil,Sword,"Gold, Bronze"
Isha Reddy,Tamil Nadu,Gatka,Female,29,Coach Singh,Shield,Bronze
Arjun Chauhan,Kerala,Gatka,Male,30,Coach Sharma,Shield,Bronze
Arjun Reddy,Karnataka,Kalaripayattu,Male,16,Coach Patil,Northern Style,Bronze
Isha Patil,Gujarat,Kalaripayattu,Male,19,Coach Singh,Southern Style,"Gold, Silver, Gold"
Rohan Joshi,Kerala,Kalaripayattu,Male,29,Coach Kumar,Northern Style,"Gold, Bronze"
Rohan Nair,Kerala,Kalaripayattu,Male,16,Coach Kumar,Southern Style,
Anjali Chauhan,Haryana,Kalaripayattu,Male,20,Coach Sharma,Southern Style,Silver
Yash Chauhan,Rajasthan,Kalaripayattu,Male,17,Coach Patil,Northern Style,"Bronze, Bronze"
Dev Sharma,West Bengal,Kalaripayattu,Male,20,Coach Patil,Northern Style,"Bronze, Silver"
Sakshi Singh,Tamil Nadu,Kalaripayattu,Female,35,Coach Iyer,Southern Style,"Bronze, Silver, Gold"
Vijay Nair,Uttar Pradesh,Kalaripayattu,Female,26,Coach Singh,Northern Style,Silver
Arjun Patil,Haryana,Kalaripayattu,Male,17,Coach Sharma,Northern Style,
Vijay Patil,Uttar Pradesh,Kalaripayattu,Male,27,Coach Kumar,Northern Style,
Rohan Nair,West Bengal,Kalaripayattu,Female,26,Coach Kumar,Northern Style,Bronze
Rohan Chauhan,Uttar Pradesh,Kalaripayattu,Female,16,Coach Patil,Northern Style,
Sakshi Nair,Haryana,Kalaripayattu,Male,18,Coach Sharma,Southern Style,Gold
Yash Chauhan,Maharashtra,Kalaripayattu,Female,30,Coach Iyer,Northern Style,"Silver, Gold, Silver"
Sakshi Sharma,Tamil Nadu,Kalaripayattu,Female,29,Coach Kumar,Northern Style,"Gold, Silver"
Vijay Joshi,Rajasthan,Kalaripayattu,Male,31,Coach Patil,Northern Style,"Bronze, Gold, Silver"
Anjali Chauhan,Kerala,Kalaripayattu,Female,23,Coach Sharma,Northern Style,Silver
Rohan Chauhan,Kerala,Kalaripayattu,Male,31,Coach Iyer,Southern Style,"Bronze, Silver"
Isha Joshi,Punjab,Kalaripayattu,Male,24,Coach Iyer,Northern Style,
Anjali Joshi,Uttar Pradesh,Kalaripayattu,Male,25,Coach Kumar,Southern Style,
Anjali Singh,Gujarat,Kalaripayattu,Male,20,Coach Iyer,Northern Style,
Anjali Chauhan,Kerala,Kalaripayattu,Male,28,Coach Iyer,Northern Style,
Vijay Yadav,Gujarat,Kalaripayattu,Female,33,Coach Singh,Southern Style,
Sakshi Desai,West Bengal,Kalaripayattu,Female,22,Coach Patil,Southern Style,Bronze
Isha Joshi,Uttar Pradesh,Kalaripayattu,Male,27,Coach Patil,Southern Style,Silver
Dev Joshi,Uttar Pradesh,Kalaripayattu,Female,25,Coach Patil,Southern Style,
Aman Desai,West Bengal,Kalaripayattu,Female,27,Coach Sharma,Northern Style,
Arjun Patil,Rajasthan,Kalaripayattu,Female,16,Coach Kumar,Northern Style,
Yash Patil,Punjab,Kalaripayattu,Female,18,Coach Sharma,Southern Style,
Anjali Yadav,Karnataka,Kalaripayattu,Female,28,Coach Patil,Southern Style,"Bronze, Gold, Silver"
Vijay Singh,West Bengal,Kalaripayattu,Male,16,Coach Kumar,Northern Style,Silver
Arjun Sharma,Punjab,Kalaripayattu,Female,16,Coach Kumar,Northern Style,
Arjun Reddy,Karnataka,Kalaripayattu,Female,21,Coach Singh,Southern Style,"Gold, Silver, Gold"
Pooja Yadav,Kerala,Kalaripayattu,Male,27,Coach Patil,Southern Style,Gold
Rohan Patil,Uttar Pradesh,Kalaripayattu,Male,21,Coach Iyer,Southern Style,Bronze
Pooja Patil,Maharashtra,Kalaripayattu,Female,33,Coach Patil,Southern Style,
Pooja Desai,Maharashtra,Kalaripayattu,Female,35,Coach Kumar,Southern Style,Gold
Yash Patil,West Bengal,Kalaripayattu,Male,16,Coach Patil,Northern Style,Gold
Pooja Reddy,Maharashtra,Kalaripayattu,Female,35,Coach Kumar,Southern Style,"Gold, Gold, Bronze"
Sakshi Singh,Kerala,Kalaripayattu,Male,34,Coach Singh,Southern Style,"Gold, Silver"
Dev Reddy,Maharashtra,Kalaripayattu,Female,25,Coach Kumar,Southern Style,
Aman Nair,Haryana,Kalaripayattu,Male,17,Coach Singh,Southern Style,"Bronze, Bronze, Silver"
Pooja Reddy,Karnataka,Kalaripayattu,Male,25,Coach Sharma,Northern Style,"Gold, Gold, Gold"
Vijay Yadav,Karnataka,Kalaripayattu,Female,16,Coach Kumar,Northern Style,
Isha Sharma,Karnataka,Kalaripayattu,Male,24,Coach Kumar,Northern Style,"Bronze, Silver, Gold"
Isha Sharma,Gujarat,Kalaripayattu,Male,27,Coach Sharma,Northern Style,
Anjali Patil,Tamil Nadu,Kalaripayattu,Female,34,Coach Patil,Northern Style,"Bronze, Bronze"
Anjali Patil,Maharashtra,Kalaripayattu,Male,16,Coach Patil,Northern Style,
Rohan Singh,Kerala,Kalaripayattu,Female,17,Coach Kumar,Northern Style,Silver
Rohan Yadav,Maharashtra,Kalaripayattu,Male,30,Coach Iyer,Southern Style,"Bronze, Bronze, Silver"
Pooja Reddy,West Bengal,Kalaripayattu,Female,22,Coach Singh,Northern Style,
Aman Patil,Punjab,Kalaripayattu,Male,29,Coach Patil,Northern Style,"Gold, Silver, Silver"
Isha Patil,Kerala,Kalaripayattu,Male,24,Coach Sharma,Northern Style,"Bronze, Gold"
Vijay Chauhan,Gujarat,Kalaripayattu,Female,22,Coach Iyer,Southern Style,"Bronze, Bronze"
Pooja Joshi,Kerala,Kalaripayattu,Female,28,Coach Patil,Southern Style,Bronze
Vijay Patil,Karnataka,Kalaripayattu,Female,17,Coach Sharma,Southern Style,
Isha Nair,Maharashtra,Kalaripayattu,Female,20,Coach Sharma,Northern Style,Silver
Vijay Singh,Haryana,Kalaripayattu,Female,22,Coach Iyer,Northern Style,Gold
Isha Desai,Rajasthan,Kalaripayattu,Male,35,Coach Iyer,Southern Style,"Silver, Bronze, Gold"
Pooja Singh,Gujarat,Kalaripayattu,Female,30,Coach Patil,Southern Style,"Bronze, Silver"
Vijay Sharma,Gujarat,Kalaripayattu,Male,27,Coach Patil,Southern Style,"Silver, Gold"
Pooja Chauhan,Uttar Pradesh,Kalaripayattu,Male,35,Coach Singh,Northern Style,Gold
Pooja Kaur,Rajasthan,Kalaripayattu,Male,20,Coach Singh,Northern Style,
Yash Joshi,Maharashtra,Kalaripayattu,Female,30,Coach Iyer,Northern Style,"Gold, Gold"
